PK_CLIENTES;customer_key;customer;customer_type;phone;line_of_business
186335673e62337c4ef8224fb66e698fc2498eb42a01d3d0c3f432f9dd7b18c0;10009639;Data Supermarket;G1;816-455-8733;M1
209855b898bc58078dc9bf50ec29b61e360ad93b12d287dfb2d7b6629a845140;10013238;Gastown Store;G2;816-455-8733;Não informado
e19c72a529fd15573c5b5bd3a7a772a32360dfb39cf3f2999c3a8edea00e3bb7;10025515;UniPress Shop;G2;816-455-8733;Não informado
a4447aab2fda54869dd8dbe218dff7daff6b013f2c3645ff24c562d264b6a538;10004516;Besicorp Shop;G1;816-455-8733;M1
d4cd8378fc6aa351ea42946764cbdf541ee1493da8daac6456772b8713aeabc6;10021470;Papyrus Supermarket;G2;816-455-8733;Não informado
24cffa3dd7794a11aa255add235efaa8c5103c3dd1b8eaeaf6b55d3e7aa8b2be;10007564;CAM Market;G2;816-455-8733;Não informado
bafa9f75bc684a8c77d2b717c2bc21fb6fe58644a0fb32d2dde063e8ecf09db6;10007117;Bre-X Shop;G1;816-455-8733;M1
4e176ccb9f7cef4a227a2a3cd67c85d57706f3b6350e84cc2374ce5b938e4b64;10019512;Kim Market;G2;816-455-8733;Não informado
5f8eb7a0df1a21c22f47764137bc282e0bd7465daf1eb33e6ba3477ae9c838e5;10009631;Clearout Shop;G2;816-455-8733;Não informado
345679fc95e55305b16fe8875f999c4f9fa90aef2667ad6a7023e3d854d3da3a;10021936;Pink Supermarket;G2;816-455-8733;Não informado
84447384b0fb18933e7164471e09c7a3ce34d320ac0480b2007e6d8b89583bd4;10019664;Koppers Supermarket;G2;816-455-8733;Não informado
36e11baf6586a388385b3b1f606ec613b2ff44c5398eea636ad226c2c4358ff6;10024550;Southwire Store;G2;816-455-8733;Não informado
ca35e83cc1dac96a5a3d862d5c75fdb8c4f2088a9d79903152ae9f3ebe6588e8;10025264;Today Shop;G2;816-455-8733;Não informado
ed049ace453c8c02647362c53bf68f4b23d009250124af4465ded67dd55344c7;10004255;Bendix Store;G1;816-455-8733;M1
75636f39bf33df9d35bb98a4a90e47dfb16bdb44960ad1b4ee76f936e35232fb;10023022;Renaissance Supermarket;G3;816-455-8733;Não informado
74d09dc88d5328d1be20c417a8118ab8a6d6740032eaeef8dc0c87e49bd908e6;10019388;KeyComm Shop;G2;816-455-8733;Não informado
feb3d064fdd9ce38105e29d0e0b12f94ea791b0a9516c952ce1fbc840d5cd449;10013899;Grumman Market;G2;816-455-8733;Não informado
99a3a8b3127957f63e08203ba8500ef164f37de2f0ba8052f4d48273d2921ed3;10025032;Talkland Shop;G1;816-455-8733;M1
4c12af33a26a5487b4e36709789304cc7f1199f90f5776bbe54a975b8d854e9a;10025778;Valicert Midstore;G2;816-455-8733;Não informado
e598c362a535b8932ce36e9e02f9a6a9b747be59892944a35ec17b018a0ebd91;10009657;DC-Works Shop;G2;816-455-8733;Não informado
