PK_LOCALIDADE;customer_address_1;customer_address_2;customer_address_3;customer_address_4;address_number;region_code;region_name;city;country;state;zip_code
04d15102dddd04edab6f912bf1a166f41b8bf6399432a4409892d0f86d169827;299 East Country Road 300 South;Não informado;Não informado;Não informado;10019942;4;Central;New Castle;US;IN;47362
1349885f64a28240cac9d783ca4d6ba573387bacc2e5fdece36dc9ac030df923;1155 Mackay Street;Não informado;Não informado;Não informado;10020448;0;Canada;Regina;CA;SK;S4N 4X9
7f3a2a2482aaf30f01d0fb900590b2689d810444fda073aea77fd5c9fbee4189;Não informado;Não informado;Não informado;Não informado;10020193;5;International;Não informado;UK;Não informado;Não informado
0fa2cc9cddf347902903c0a5b8fa6e074d7d59eb2bc444727de6d510db3aa226;PO Box 20505;Não informado;Não informado;Não informado;10004256;1;Western;Portland;US;OR;97294
be76a2da937fce2e434bafffd1522aa11f667f7165f778c720de0b54a373e4b8;Avda Bdo O'Higgins;Não informado;Não informado;Não informado;10014540;5;International;1980 Santiago;UK;Não informado;Não informado
b7cad4c3f3287c5677baea32174b6803f0a03d832bffa17076da989226b4a962;6710 76 Avenue;Não informado;Não informado;Não informado;10019410;0;Canada;Edmonton;CA;AB;T6B 0A8
8e5799365c1303c6264c594d320977b800177052a933af02969b02ed7a2557c1;209 Sanford Road (Route 109);Não informado;Não informado;Não informado;10008602;3;Northeast;Wells;US;ME;4090
679d53128ffe7b3ebdfa62c63d59713566640470544263d2a5b9b2bc68e474a3;9475 192 Street;Não informado;Não informado;Não informado;10021472;0;Canada;Surrey;CA;BC;V3T 4W2
539ec8806a539be4305e4ccf9d517a01cfdfb1f94aec8bfbe9626c2716ff9f68;PO Box 5364;Não informado;Não informado;Não informado;10006093;4;Central;Evansville;US;IN;47716-5364
407b9a378544091e495541ed3f2e1ac6397da9f9a4a483f486b8b8fd9c52cc47;PO Box 10455;Não informado;Não informado;Não informado;10017576;2;Southern;New Orleans;US;LA;70181
c1cad782764b29950c67718fd589059e5543b22639bacb274f13fdd76e4106ee;Central Division;PO BOX 600;Não informado;Não informado;10023715;4;Central;Plainfield;US;IN;46168-0600
956f28b202284ffa759586ced7367a2457044725b6f33e4b8046150446b10aad;150-3 Chilkei-Dong;Não informado;Não informado;Não informado;10025052;5;International;Songtan SI;AU;Não informado;459-050
456f6683b508657184cda5d0e4d323f85a338b81dafb401855f28777bef485e1;1391 Gay Lussac;Não informado;Não informado;Não informado;10000461;0;Canada;Boucherville;CA;QU;J4B 7K1
958321d8abd7d0b7bdbaa2e9a2906b7c2049a7e1ba9c63e8610835518161b513;Plaza Venezuela 1413-1425;Não informado;Não informado;Não informado;10009650;5;International;La Paz;UK;Não informado;Não informado
2bd29430f8b2ee70d5382ad4e9dcc9ce10dbcf0518870fc1fc88bf4bfc6fd0f2;Attention  Accounts Payable Department;PO Box 12990;Não informado;Não informado;10025269;4;Central;Overland Park;US;KS;66282-2990
98ff4cce851f12c2d2e7d6b1124b98d5fc77480f333b298ee65add2b97983a34;8302 Jet Pilot;Não informado;Não informado;Não informado;10024499;2;Southern;Houston;US;TX;77075
8f32ebd5c17aa4da04e276f1c017aa79f28d0b9668f012540137c179a5114b14;2916-21st Street Northeast;Não informado;Não informado;Não informado;10014471;0;Canada;Calgary;CA;AB;T2E 6Z2
cbc0cae602f7a78934c8d98c0a6e603ffcf48367761f109f3856304d781888a2;RU-3 Hamamatsu Nishi;PO Box 1;Não informado;Não informado;10025241;5;International;Hamamatsu City;AU;Não informado;432-8611
59a81dbf534c7570e37d86ebce76b59b0dd19282cdb4739eeac773ace106da32;16215 118th Avenue;Não informado;Não informado;Não informado;10024034;0;Canada;Edmonton;CA;AB;T5V 1C7
2ceee47e891d7c9b272488c0b9cade8787db482633f4ea3f8310f3416648c0f3;Attention: Anna Markert;3111 W Allegheny Avenue;Não informado;Não informado;10015783;3;Northeast;Philadelphia;US;PA;19132
ad4e291f9f4e431c9b159baf4dce11bb58fda2b6ae2538d0f6535da84ce06065;3248 Auburn Boulevard;Não informado;Não informado;Não informado;10020192;1;Western;Sacramento;US;CA;95821
9d6170a77c51024a84d13528e5c349f47bcea2b43fae3527d8b30e78f00eaed3;Weser Ems Strasse 2-4;Não informado;Não informado;Não informado;10026081;5;International;Bremen;UK;Não informado;D-28390
ad9865b3b157f250b75f0fe582ac58bd158fc0dd902f9db55f0c045376d21039;Attention Accounts Payable Department;PO Box 12990;Não informado;Não informado;10016334;4;Central;Overland Park;US;KS;66282-2990
bfd7280c3ed70ad64488919e0433093bb85b55591d627bb11c43473d6f6f2bff;731 North Beford Road;Não informado;Não informado;Não informado;10025062;3;Northeast;Bedford Hills;US;NY;10507
6c34b35aec9dd3569a31bd949b12f7ae95768d56d7129adff6b2ef344cac8636;Attention:  Accounts Payable;300 East Norway Avenue;Não informado;Não informado;10024010;4;Central;Mitchell;US;SD;57301-7064
a66919954565376b9a440ce61f8a1ea28ffbea15c9c8edf171ab26f536b1caef;PO Box 21;Não informado;Não informado;Não informado;10025549;3;Northeast;Shady Grove;US;PA;17256-0021
fc879a066cb1d58bfe6984ac553c0c1aec3f66fe9269dfaa2885f58c1e3e2698;PO Box 174;Não informado;Não informado;Não informado;10024725;2;Southern;Jasper;US;TX;75951
25b8525d0d4d7f606e40be84d3593572fd5d5bd4d0c80e3460324b05bb4db4ba;Vehicle Operations;Building 540 53G/23/1;Banbury Road;Não informado;10004516;5;International;Lighthorne Warwick;UK;Não informado;CV35 ORG
b5a6645a2b25a3129ac3d9a057ec33e496d07ba278b8969b388ee1a56a52afd8;S Gravendam Seweg 53;Não informado;Não informado;Não informado;10014238;5;International;2215 TC Voorhout;IR;Não informado;Não informado
aa3358c49da3461a1f4985496b2ca1a8ebd1445cd8a92b409da74a00ece1dfda;PO Box 5308;Não informado;Não informado;Não informado;10025243;2;Southern;Longview;US;TX;75608
dff42a409d80c0e40a0f1ea12769cd21f0587d9317b75cbe48c4c6b9ef13f97d;5745 N Tryon Street;Não informado;Não informado;Não informado;10000475;2;Southern;Charlotte;US;NC;28213
5bea3b6443975a0871af83d9e4303188085f115a89017c35d10dd94238313a24;845 Third Street;Não informado;Não informado;Não informado;10022431;3;Northeast;Vinton;US;VA;24179
e283808936e43c27ab534986531d45415c587191bdf2519126cc1dea1e54fc65;2402 West Valley Highway North;Não informado;Não informado;Não informado;10025025;1;Western;Auburn;US;WA;98001
bba520ef3233d5a39a64003f7bf11ada22bdad5c6c2b95cd8d81bce045601ecd;2401 East 31st Street;PO Box 72638;Não informado;Não informado;10025285;2;Southern;Chattanooga;US;TN;37407
f2f83f40bd7d53f845e59a4b2369a441208c3523cee2bd219b8f867eb6129f84;PO Box 450;Não informado;Não informado;Não informado;10009656;1;Western;Trinity Center;US;CA;96091
9d38a9580a6dc5af9d3d40299a678aa53abfb1e4ff87e2011702d45520673a3b;17 Perry Road;Não informado;Não informado;Não informado;10018623;2;Southern;Laurel;US;MS;39440
f8e881e5f4384b16f99baba097ef0adc34a6b41eaca82b2d7d4368cb3ed09982;Los Angeles PDC #14;Attention   Accounts Payable;PO Box 5555;Não informado;10021203;1;Western;Costa Mesa;US;CA;92626-5555
3beb968f006c9fec82d1f914a1a314b6639a45d1d3326cb2e0064c324edbd46a;PO Box 900;Não informado;Não informado;Não informado;10022732;2;Southern;Lake Hamilton;US;FL;33851
9169ed2976a2e4ecc1fbc89e76278bd7ec43f857de7b9b2cd6abe3d4b7e881fe;Am Schwimmbad 8;Postfach 2008;Não informado;Não informado;10020181;5;International;D 95326 Kulmbach;UK;Não informado;Não informado
d740b5976704b131f5721ec614477bfc033bfd268efe90b2b6d87b1a7132ac49;22015 South I-35;Não informado;Não informado;Não informado;10007122;2;Southern;Buda;US;TX;78610
5eb00fda9822d3dc4f32ddfbbd99512df63ddf468783e941be7b45a35897e977;PO Box 568;Não informado;Não informado;Não informado;10025038;3;Northeast;Mechanicsburg;US;PA;17055
8df88cf4e64f76c5b73bb6206d49d880d95c46bd203bb66789573f845c1b31a7;207 North Scott;Não informado;Não informado;Não informado;10013509;4;Central;Joliet;US;IL;60435
d9b90742c9d3d931db39af03efd883c24147725923275141fd199a367c07810c;640 N Eldorado Street;Não informado;Não informado;Não informado;10023513;1;Western;Stockton;US;CA;95205
874b2c8c6db503298bff3cb97e64518ef15115ed0466e0e49f21cb9a768cbd6c;Attention: Accounts Payable;4900 Alliance Gateway Freeway;Não informado;Não informado;10023538;2;Southern;Fort Worth;US;TX;76177
fa2afda23d44bbb504422fe3c96614ca57ff9455dd47363bda320ae4c311480d;7225 NW 25th Street;Não informado;Não informado;Não informado;10006037;2;Southern;Miami;US;FL;33122
0fc98c65d34a6bc6631d68ac609bfee05dc1e1ae63ed1eb7afee96f3f531a3cd;Private Mail Bag 53;St Peters NSW 2044;Não informado;Não informado;10025063;5;International;Não informado;UK;Não informado;Não informado
bb380030b81a2c5d96fe261cb315381898f176223d30d79edf6f4d588a637ecd;PO Box 2187;Não informado;Não informado;Não informado;10021911;2;Southern;Tupelo;US;MS;38803-2187
b780a1edde93feab324418880f366a864b4c645e21797cd187b29808557c6a39;Unicity Distribution Systems;1445 Church Avenue;Não informado;Não informado;10016609;0;Canada;Winnepeg;CA;MB;R2X 2X9
31ada19f01944b561a5586e35387322e019a449fb5ae31d797d5572975942931;17010 S Main Street;PO Box 88;Não informado;Não informado;10010698;1;Western;Gardena;US;CA;90248
aa31d02696308e5f4f05e4c822b85feeca51bd88e76fb88e042324a69cd71389;PO Box 10361;Não informado;Não informado;Não informado;10022167;5;International;Georgetown;AU;Não informado;Não informado
def9c32cc12caadcddf8e4dae211c785ebd242f6e97de859494cc001e96ad080;Greenville PDC #23;52 Bruce Road;Não informado;Não informado;10016542;2;Southern;Greenville;US;SC;29605
d56984dd306107080aec34bccd1b7e8f7f59aa0a24baba1ad7a20c7df28630c4;125 Hampton Ct.;Não informado;Não informado;Não informado;10025560;2;Southern;Cramerton;US;NC;28032
